path,difficulty,n,gates,rx,rz,cx,swap,exact_rx_pi,near_rx_pi_1e-3,cliffordish_1e-3,greedy_exact_gates,greedy_exact_reduction,greedy_snap_1e3_gates,greedy_snap_1e3_reduction,linear_window_count,linear_identity_windows,linear_perm_windows,linear_max_window,candidate_x_cxswap_1e3,candidate_x_swaponly_1e3,qiskit_raw_native_size,qiskit_raw_native_depth,qiskit_raw_auto_size,qiskit_raw_auto_depth,qiskit_snap_1e3_native_size,qiskit_snap_1e3_native_depth,qiskit_snap_1e3_auto_size,qiskit_snap_1e3_auto_depth,qiskit_snap_1e3_snapped,sv_peak,sv_peak_prob,cand_cxswap_matches_sv,cand_swaponly_matches_sv
challenges/easy/challenge-16_12.qasm,easy,16,291,65,89,129,8,4,4,101,291,0.0,291,0.0,73,0,2,6,0010001000001010,0000001001000110,283,93,228,80,286,92,226,78,129,1111000101101011,0.4665367321191776,False,False
challenges/easy/challenge-24_13.qasm,easy,24,550,176,163,206,5,2,2,142,550,0.0,550,0.0,142,0,3,5,000000000001000000000001,000000000000010000000001,544,136,413,115,551,137,400,113,227,,,,
challenges/easy/challenge-32_14.qasm,easy,32,875,243,299,330,3,2,2,229,875,0.0,874,0.0011428571428571122,226,0,1,6,00000000100010000000000000000000,00000000100010000000000000000000,872,169,666,135,868,169,647,134,345,,,,
challenges/easy/challenge-36_15.qasm,easy,36,1752,617,742,393,0,0,1,23,1752,0.0,1747,0.0028538812785388057,278,0,0,6,000100000000000000000000000000000000,000100000000000000000000000000000000,1752,207,1097,145,1744,206,1093,145,101,,,,
challenges/easy/challenge-40_16.qasm,easy,40,969,301,302,361,5,5,6,259,969,0.0,968,0.0010319917440660964,262,0,2,5,0100010010010000000000100100000000110000,0101010000010000000000100000001000000000,964,174,760,142,963,173,760,142,364,,,,
challenges/easy/challenge-40_17.qasm,easy,40,779,208,233,326,12,5,6,224,779,0.0,779,0.0,207,0,6,5,1000010010011000000100001010000000001000,1000000000000100000100001100010000000000,767,156,614,131,768,156,607,131,329,,,,
challenges/easy/challenge-40_18.qasm,easy,40,1328,343,469,515,1,3,3,340,1328,0.0,1323,0.0037650602409639022,349,0,1,11,0000000000000000000010000000000000100010,0000000000001000000000000000000000100010,1327,199,1036,167,1335,199,1019,167,549,,,,
challenges/easy/challenge-48_19.qasm,easy,48,901,282,263,356,0,6,7,301,899,0.002219755826859071,895,0.006659267480577102,209,0,0,9,001000100100000000001000000000000000011001000001,000000100100000000001000000000000000010001010001,916,143,626,117,908,143,619,117,426,,,,
challenges/easy/challenge-48_20.qasm,easy,48,917,270,319,327,1,5,5,242,917,0.0,914,0.0032715376226826187,220,0,2,10,000000000001000000110000001000000000010000000000,000000000001000000110000000000000000010000000001,916,178,649,135,918,178,647,135,339,,,,
challenges/easy/challenge-48_21.qasm,easy,48,1103,308,347,444,4,6,6,309,1103,0.0,1103,0.0,262,0,1,7,000000010100000010000000000000010000100000000100,000000001000000010000000000010010000100000000100,1099,199,822,164,1097,194,816,161,460,,,,
challenges/easy/challenge-56_22.qasm,easy,56,702,191,212,299,0,15,16,218,702,0.0,701,0.0014245014245014564,186,0,0,6,00000000101100010011000000000100111100010010100100100001,00000000100100010011000000000100011100010011100100100001,702,142,566,122,720,142,548,122,297,,,,
challenges/easy/challenge-56_23.qasm,easy,56,1746,540,520,684,2,4,4,527,1746,0.0,1743,0.0017182130584192379,452,0,2,7,00000000000000001000000001000000000000001000000000000100,00000000000000001000000001010000000000001000000000000000,1744,303,1321,238,1745,301,1307,235,840,,,,
challenges/easy/challenge-56_24.qasm,easy,56,1418,475,406,536,1,4,5,394,1418,0.0,1412,0.004231311706629048,352,0,1,12,01000000000000000001100001000000101000000011000001000000,00000000000000000000000100010010100000000001000000000000,1417,198,1042,162,1408,196,1027,161,545,,,,
challenges/easy/challenge-64_25.qasm,easy,64,1706,458,544,704,0,4,5,434,1676,0.017584994138335253,1670,0.021101992966002348,452,5,1,8,0000100000000000000000000000000000000000000001000000001000001000,0000000000100000000000000000000000000000000001000000000000001000,1700,168,1258,141,1708,167,1243,141,610,,,,
challenges/easy/challenge-64_26.qasm,easy,64,1854,537,606,711,0,7,7,553,1854,0.0,1852,0.0010787486515642097,456,0,0,7,0000000000001000000001000001000000000000000000000101010000000100,0000000000001000000001000001000000000000000000000101010000000100,1854,260,1385,210,1858,258,1375,210,877,,,,
challenges/easy/challenge-8_11.qasm,easy,8,117,37,42,36,2,1,2,31,117,0.0,117,0.0,33,0,1,2,11000100,01000001,115,60,85,47,116,62,81,44,44,01001110,0.5454480750007801,False,False
challenges/hard/challenge-40_35.qasm,hard,40,2950,819,938,1193,0,4,6,646,2950,0.0,2947,0.0010169491525423568,804,0,0,9,1011000010100000000111100000110010000101,0000000000000000000000001001000110100001,2950,316,2351,274,2956,315,2337,271,1025,,,,
challenges/hard/challenge-48_36.qasm,hard,48,2805,656,999,1145,5,5,6,604,2805,0.0,2804,0.00035650623885918886,778,0,3,9,000000011000000000000000000000001000001000110000,000000011000000000000000000000001000000000110100,2800,305,2266,276,2810,310,2262,273,974,,,,
challenges/hard/challenge-48_37.qasm,hard,48,3505,918,1106,1481,0,3,5,958,3505,0.0,3504,0.00028530670470761077,931,0,0,18,111000011000011001010111100111011100010101111001,000000000000100000000000000000000001010010000001,3505,514,2802,442,3504,513,2802,442,1492,,,,
challenges/hard/challenge-56_38.qasm,hard,56,5939,1040,2140,2759,0,4,5,967,5939,0.0,5938,0.00016837851490147937,1626,0,0,20,01110111000010010011000100100100000001000111110000000000,00000100000100010010000000000000001000000000000000000000,5939,652,4848,578,5936,652,4848,578,2533,,,,
challenges/hard/challenge-56_39.qasm,hard,56,2783,607,1031,1143,2,4,6,489,2783,0.0,2781,0.0007186489399928497,763,0,2,10,00010000101011000000001000100000000101000000000010000100,00000100001000000000100000100000000001000000000000000100,2781,329,2230,299,2781,329,2227,299,981,,,,
challenges/hard/challenge-64_40.qasm,hard,64,3758,979,1206,1573,0,5,8,871,3758,0.0,3752,0.0015965939329430912,1057,0,1,14,0000000110000000000000000000010010000000000000000100000100000001,0000000110000000000000000000010000000000000000000100000100000001,3758,307,3051,270,3753,309,3030,270,1361,,,,
challenges/hard/challenge-64_41.qasm,hard,64,3428,677,1323,1428,0,3,3,660,3428,0.0,3425,0.0008751458576429227,958,1,0,21,0010000000100000000000000000000000000000000010000000000000000000,0010000000100000000000000000000000000000000010000000000000000000,3428,372,2799,327,3433,377,2791,327,1494,,,,
challenges/moderate/challenge-16_28.qasm,moderate,16,1670,334,643,693,0,1,1,317,1670,0.0,1666,0.0023952095808382756,477,0,0,9,0000001000000000,0000001000000000,1670,500,1363,436,1665,499,1342,427,714,1101001111011100,0.39620593480342753,False,False
challenges/moderate/challenge-24_29.qasm,moderate,24,3086,752,1064,1267,3,2,2,591,3086,0.0,3086,0.0,896,0,1,6,000001000000000000010000,001001000000000000000000,3083,534,2539,465,3092,535,2523,460,1246,,,,
challenges/moderate/challenge-32_30.qasm,moderate,32,1977,507,664,801,5,2,4,387,1977,0.0,1970,0.0035407182599899167,564,0,3,7,00010000000000000000000010100110,00010001000000000000000100000010,1972,322,1582,280,1964,320,1573,279,742,,,,
challenges/moderate/challenge-48_31.qasm,moderate,48,1265,348,375,531,11,10,10,390,1265,0.0,1263,0.0015810276679841806,338,0,2,8,010110010001010001001000000010000000000001000000,000110010001010001001000000000001000000001000100,1254,252,1019,216,1266,250,1004,211,591,,,,
challenges/moderate/challenge-48_32.qasm,moderate,48,1790,536,531,718,5,3,4,544,1790,0.0,1787,0.0016759776536312554,451,0,4,7,010000000000000000000001000000000101011000000000,000001000000000000000001000000000001010000000000,1785,328,1348,263,1779,327,1345,263,815,,,,
challenges/moderate/challenge-56_33.qasm,moderate,56,1510,403,432,675,0,14,14,523,1510,0.0,1505,0.0033112582781457123,377,0,0,7,00100000000000000000001001000010010000001101101101011000,00100000000000000000001001000010010000001101101101011000,1510,294,1219,253,1525,292,1206,253,774,,,,
challenges/moderate/challenge-64_34.qasm,moderate,64,1948,587,597,761,3,6,6,619,1948,0.0,1944,0.002053388090349051,525,0,2,8,0000000010000001000100000000001000000000000000000100000000001000,0000000010000001000000000000000000010000000001000100000000001000,1945,265,1526,231,1952,265,1514,231,850,,,,
challenges/moderate/challenge-8_27.qasm,moderate,8,459,111,175,168,5,2,2,92,459,0.0,458,0.002178649237472796,131,0,0,5,00011000,00001010,454,201,360,164,458,200,353,164,205,11001001,0.2879073385472981,False,False
challenges/very easy/challenge-16_2.qasm,very easy,16,308,95,88,124,1,0,0,75,308,0.0,308,0.0,89,0,1,7,0000000000000000,0000000000000000,307,105,249,91,306,102,245,88,120,1010101011001000,0.46696962421755955,False,False
challenges/very easy/challenge-24_3.qasm,very easy,24,363,116,116,126,5,7,7,105,363,0.0,362,0.0027548209366391463,94,0,3,4,000001000100110001100001,000001100001110001100000,358,83,271,73,361,84,267,70,149,,,,
challenges/very easy/challenge-28_4.qasm,very easy,28,1220,417,525,278,0,0,1,22,1220,0.0,1219,0.0008196721311475308,208,0,0,4,0100000000001000000000000000,1000000000000000000000000000,1220,229,774,158,1217,229,774,158,72,,,,
challenges/very easy/challenge-32_5.qasm,very easy,32,773,225,234,307,7,5,5,189,773,0.0,773,0.0,217,0,2,6,00000100000000000110000000101000,01100000000000000100000000001100,766,211,614,177,766,211,612,177,333,,,,
challenges/very easy/challenge-36_6.qasm,very easy,36,426,146,186,94,0,3,3,18,426,0.0,425,0.0023474178403756207,71,0,0,3,000000000000000001000001000000001000,000000000000000001000001000000001000,425,79,266,56,424,79,266,56,35,,,,
challenges/very easy/challenge-40_7.qasm,very easy,40,211,85,67,59,0,9,9,61,211,0.0,210,0.004739336492891044,43,0,0,4,0000111010010000000001001100000000000001,0000111010010000000001001100000000000001,218,33,143,26,218,33,140,26,64,,,,
challenges/very easy/challenge-48_8.qasm,very easy,48,227,80,63,84,0,11,12,68,227,0.0,226,0.004405286343612369,54,0,2,5,000010100101110000001000001100100000000010010000,000010100101110000001000001100100000000010010000,220,46,174,37,220,46,174,37,76,,,,
challenges/very easy/challenge-56_9.qasm,very easy,56,317,111,106,94,6,21,24,117,317,0.0,310,0.02208201892744477,82,0,2,3,00010100100100101110100010010010011101110100011111010110,11010110000100101010100010010010011100000101011001010110,311,74,237,60,294,73,220,57,144,,,,
challenges/very easy/challenge-64_10.qasm,very easy,64,313,120,98,91,4,17,17,107,313,0.0,310,0.009584664536741228,79,0,2,3,0010010110110000100000101000000100000000000000110100010100101000,0010010010110000000000101000000100000000000000110100010110111000,309,32,234,25,307,32,230,25,131,,,,
challenges/very easy/challenge-8_1.qasm,very easy,8,46,17,14,14,1,2,2,14,46,0.0,46,0.0,14,0,0,2,00000011,00100010,45,21,34,16,44,20,34,16,22,10101101,0.9126378477396645,False,False
challenges/very_hard/challenge-104_49.qasm,very_hard,104,26361,10310,10645,5406,0,0,9,135,26361,0.0,26341,0.0007586965593111561,4001,0,0,9,10111001110001111111101100101101100001101110111100110000111101111111111111101001111000000000000000000000,00010000000000000000000000001000000000000001000001000000000000000000001100000000001000000000000000000000,26361,1095,15985,755,26329,1094,15948,755,1395,,,,
challenges/very_hard/challenge-48_42.qasm,very_hard,48,20733,7087,9425,4221,0,0,3,90,20733,0.0,20732,4.8232286692706516e-05,3158,0,0,7,010101011000110000011100000100011010000110000000,110000000000001000000000000000000000000000000000,20733,1682,12547,1156,20730,1682,12547,1156,966,,,,
challenges/very_hard/challenge-56_43.qasm,very_hard,56,23004,8034,10286,4684,0,0,2,98,23003,4.347070074772752e-05,22997,0.0003042949052338706,3395,0,0,8,00000101101000011010100001000100000000000000000000000000,00000000000100000000100000000000000000000000000000000000,23001,1582,13917,1105,22987,1582,13911,1105,1150,,,,
challenges/very_hard/challenge-64_44.qasm,very_hard,64,28787,11016,11927,5844,0,0,1,132,28786,3.473790252539466e-05,28781,0.00020842741515270102,4300,0,0,6,1001100000011100000010001000000000100000000000000000000000000000,0000000000000010000000000000000000000000000000000000000000000000,28785,1781,17389,1217,28780,1781,17386,1217,1445,,,,
challenges/very_hard/challenge-72_45.qasm,very_hard,72,28777,11084,11841,5852,0,2,5,124,28775,6.949994787508462e-05,28772,0.00017374986968754502,4344,0,0,8,011011001100100110110111011111011100100000100000000000000000000000000000,000000101001000000000000000010000000000000100000000000000000000000000000,28773,1636,17397,1139,28760,1636,17379,1139,1372,,,,
challenges/very_hard/challenge-80_46.qasm,very_hard,80,34586,13161,14395,7030,0,1,2,154,34584,5.7826866362131746e-05,34576,0.0002891343318105477,5257,0,0,6,00101101010101010111001111001111011010111111011100100000111000000101010010000000,00000000000000000000000010000000000000000000000000000000000001000000000000000000,34583,1702,20898,1185,34519,1702,20888,1185,1688,,,,
challenges/very_hard/challenge-88_47.qasm,very_hard,88,37660,14603,15403,7654,0,0,3,162,37659,2.655337227830401e-05,37641,0.0005045140732873321,5647,0,0,7,0110100100011101111001011101010101010101010011011111000000101010000000000000000000000000,0000000000000000000010000000000100000000000000000000000000000010000000000000000000000000,37658,1708,22764,1182,37641,1707,22757,1181,1801,,,,
challenges/very_hard/challenge-96_48.qasm,very_hard,96,28703,10801,12036,5866,0,2,4,136,28703,0.0,28694,0.0003135560742779653,4324,0,0,9,010110010110101100011100100011101000010110111011101100001010011110101110011010000000100000000000,000000000000000000000010000000000100000000000000000000100000000000000000000000000000100000000000,28702,1215,17406,837,28676,1215,17395,837,1445,,,,
