challenge	difficulty	qubits	first_action	best_method_id	best_method_name	best_score	mps_score	tno_score	mpo_unswapping_score	source_path
16_12	easy	16	Exact statevector baseline	low_bond_mps_distillation	Low-bond MPS with bitstring distillation	48	48	32	17	reports/qmill_method_report.csv
24_13	easy	24	Exact statevector baseline	low_bond_mps_distillation	Low-bond MPS with bitstring distillation	76	76	54	7	reports/qmill_method_report.csv
32_14	easy	32	Low-bond MPS with bitstring distillation	low_bond_mps_distillation	Low-bond MPS with bitstring distillation	86	86	71	35	reports/qmill_method_report.csv
36_15	easy	36	Low-bond MPS with bitstring distillation	low_bond_mps_distillation	Low-bond MPS with bitstring distillation	90	90	66	57	reports/qmill_method_report.csv
40_16	easy	40	Low-bond MPS with bitstring distillation	low_bond_mps_distillation	Low-bond MPS with bitstring distillation	86	86	71	35	reports/qmill_method_report.csv
40_17	easy	40	Low-bond MPS with bitstring distillation	low_bond_mps_distillation	Low-bond MPS with bitstring distillation	86	86	51	35	reports/qmill_method_report.csv
40_18	easy	40	Low-bond MPS with bitstring distillation	low_bond_mps_distillation	Low-bond MPS with bitstring distillation	86	86	70	35	reports/qmill_method_report.csv
48_19	easy	48	Low-bond MPS with bitstring distillation	low_bond_mps_distillation	Low-bond MPS with bitstring distillation	90	90	78	31	reports/qmill_method_report.csv
48_20	easy	48	Low-bond MPS with bitstring distillation	low_bond_mps_distillation	Low-bond MPS with bitstring distillation	86	86	69	35	reports/qmill_method_report.csv
48_21	easy	48	Low-bond MPS with bitstring distillation	low_bond_mps_distillation	Low-bond MPS with bitstring distillation	86	86	70	35	reports/qmill_method_report.csv
56_22	easy	56	Low-bond MPS with bitstring distillation	low_bond_mps_distillation	Low-bond MPS with bitstring distillation	90	90	81	31	reports/qmill_method_report.csv
56_23	easy	56	Low-bond MPS with bitstring distillation	low_bond_mps_distillation	Low-bond MPS with bitstring distillation	86	86	70	47	reports/qmill_method_report.csv
56_24	easy	56	Low-bond MPS with bitstring distillation	low_bond_mps_distillation	Low-bond MPS with bitstring distillation	86	86	71	35	reports/qmill_method_report.csv
64_25	easy	64	Low-bond MPS with bitstring distillation	low_bond_mps_distillation	Low-bond MPS with bitstring distillation	90	90	82	43	reports/qmill_method_report.csv
64_26	easy	64	Low-bond MPS with bitstring distillation	low_bond_mps_distillation	Low-bond MPS with bitstring distillation	90	90	79	43	reports/qmill_method_report.csv
8_11	easy	8	Exact statevector baseline	low_bond_mps_distillation	Low-bond MPS with bitstring distillation	76	76	51	17	reports/qmill_method_report.csv
40_35	hard	40	Tensor Network Operator midpoint contraction	tno_contraction	Tensor Network Operator midpoint contraction	74	44	74	65	reports/qmill_method_report.csv
48_36	hard	48	MPO iterative cancellation with unswapping	mpo_unswapping	MPO iterative cancellation with unswapping	69	68	55	69	reports/qmill_method_report.csv
48_37	hard	48	Tensor Network Operator midpoint contraction	tno_contraction	Tensor Network Operator midpoint contraction	74	72	74	65	reports/qmill_method_report.csv
56_38	hard	56	MPO iterative cancellation with unswapping	mpo_unswapping	MPO iterative cancellation with unswapping	83	44	75	83	reports/qmill_method_report.csv
56_39	hard	56	Tensor Network Operator midpoint contraction	tno_contraction	Tensor Network Operator midpoint contraction	79	68	79	47	reports/qmill_method_report.csv
64_40	hard	64	Tensor Network Operator midpoint contraction	tno_contraction	Tensor Network Operator midpoint contraction	89	72	89	43	reports/qmill_method_report.csv
64_41	hard	64	Tensor Network Operator midpoint contraction	tno_contraction	Tensor Network Operator midpoint contraction	91	72	91	43	reports/qmill_method_report.csv
16_28	moderate	16	Exact statevector baseline	low_bond_mps_distillation	Low-bond MPS with bitstring distillation	52	52	43	49	reports/qmill_method_report.csv
24_29	moderate	24	Exact statevector baseline	mpo_unswapping	MPO iterative cancellation with unswapping	43	40	32	43	reports/qmill_method_report.csv
32_30	moderate	32	Low-bond MPS with bitstring distillation	low_bond_mps_distillation	Low-bond MPS with bitstring distillation	58	58	38	57	reports/qmill_method_report.csv
48_31	moderate	48	Low-bond MPS with bitstring distillation	low_bond_mps_distillation	Low-bond MPS with bitstring distillation	86	86	53	35	reports/qmill_method_report.csv
48_32	moderate	48	Low-bond MPS with bitstring distillation	low_bond_mps_distillation	Low-bond MPS with bitstring distillation	86	86	72	47	reports/qmill_method_report.csv
56_33	moderate	56	Low-bond MPS with bitstring distillation	low_bond_mps_distillation	Low-bond MPS with bitstring distillation	90	90	82	43	reports/qmill_method_report.csv
64_34	moderate	64	Low-bond MPS with bitstring distillation	low_bond_mps_distillation	Low-bond MPS with bitstring distillation	86	86	71	47	reports/qmill_method_report.csv
8_27	moderate	8	Exact statevector baseline	low_bond_mps_distillation	Low-bond MPS with bitstring distillation	48	48	3	45	reports/qmill_method_report.csv
16_2	very_easy	16	Exact statevector baseline	low_bond_mps_distillation	Low-bond MPS with bitstring distillation	76	76	68	17	reports/qmill_method_report.csv
24_3	very_easy	24	Exact statevector baseline	low_bond_mps_distillation	Low-bond MPS with bitstring distillation	76	76	48	7	reports/qmill_method_report.csv
28_4	very_easy	28	Exact if memory allows, then compare paper methods	low_bond_mps_distillation	Low-bond MPS with bitstring distillation	80	80	67	17	reports/qmill_method_report.csv
32_5	very_easy	32	Low-bond MPS with bitstring distillation	low_bond_mps_distillation	Low-bond MPS with bitstring distillation	86	86	49	35	reports/qmill_method_report.csv
36_6	very_easy	36	Low-bond MPS with bitstring distillation	low_bond_mps_distillation	Low-bond MPS with bitstring distillation	90	90	65	45	reports/qmill_method_report.csv
40_7	very_easy	40	Low-bond MPS with bitstring distillation	low_bond_mps_distillation	Low-bond MPS with bitstring distillation	90	90	76	23	reports/qmill_method_report.csv
48_8	very_easy	48	Low-bond MPS with bitstring distillation	low_bond_mps_distillation	Low-bond MPS with bitstring distillation	90	90	77	23	reports/qmill_method_report.csv
56_9	very_easy	56	Low-bond MPS with bitstring distillation	low_bond_mps_distillation	Low-bond MPS with bitstring distillation	86	86	67	27	reports/qmill_method_report.csv
64_10	very_easy	64	Low-bond MPS with bitstring distillation	low_bond_mps_distillation	Low-bond MPS with bitstring distillation	86	86	66	27	reports/qmill_method_report.csv
8_1	very_easy	8	Exact statevector baseline	low_bond_mps_distillation	Low-bond MPS with bitstring distillation	76	76	64	0	reports/qmill_method_report.csv
104_49	very_hard	104	MPO iterative cancellation with unswapping	mpo_unswapping	MPO iterative cancellation with unswapping	100	0	29	100	reports/qmill_method_report.csv
48_42	very_hard	48	MPO iterative cancellation with unswapping	mpo_unswapping	MPO iterative cancellation with unswapping	100	0	4	100	reports/qmill_method_report.csv
56_43	very_hard	56	MPO iterative cancellation with unswapping	mpo_unswapping	MPO iterative cancellation with unswapping	100	0	4	100	reports/qmill_method_report.csv
64_44	very_hard	64	MPO iterative cancellation with unswapping	mpo_unswapping	MPO iterative cancellation with unswapping	100	0	4	100	reports/qmill_method_report.csv
72_45	very_hard	72	MPO iterative cancellation with unswapping	mpo_unswapping	MPO iterative cancellation with unswapping	100	0	5	100	reports/qmill_method_report.csv
80_46	very_hard	80	MPO iterative cancellation with unswapping	mpo_unswapping	MPO iterative cancellation with unswapping	100	0	5	100	reports/qmill_method_report.csv
88_47	very_hard	88	MPO iterative cancellation with unswapping	mpo_unswapping	MPO iterative cancellation with unswapping	100	0	3	100	reports/qmill_method_report.csv
96_48	very_hard	96	MPO iterative cancellation with unswapping	mpo_unswapping	MPO iterative cancellation with unswapping	100	0	29	100	reports/qmill_method_report.csv
