session	challenge	difficulty	qubits	method	method_family	run_id	status	source_path	worktree	commit	backend	shots	max_bond	seed	ordering	seconds	notes
quantum_peak_session	8_1	very easy	8	collector_snapshot	collector	collector_selected:8_1	exact	research/quantum_peak_session/results/current_candidates/CANDIDATES.tsv	quantum-junction	a6e43e8							selected from exact_statevector
quantum_peak_session	8_1	very easy	8	exact_statevector	exact	collector_evidence:8_1:1	exact	agent_work/exact_baseline/peaks_exact.csv	quantum-junction	019dc8c							collector priority 100
quantum_peak_session	8_1	very easy	8	exact_statevector	exact	exact_statevector	ok	agent_work/exact_baseline/peaks_exact.jsonl	quantum-junction	019dc8c	qiskit-aer-statevector					0.002705266000702977	exact statevector top list
quantum_peak_session	8_1	very easy	8	peaked_mpo_mps	mpo	challenge-8_1.peaked_mpo_mps	ok	outputs/peaked_circuit_sim_pilot/json/challenge-8_1.peaked_mpo_mps.json	quantum-junction	ebe2a6a	cuda		512	123		71.84728003299097	peaked circuit MPO/MPS marginal candidate
quantum_peak_session	8_1	very easy	8	quimb_cpu_all	quimb	collector_evidence:8_1:2	correct	outputs/tree_tensor_sim/all_cpu/json/challenge-8_1.quimb_tree_graph_mps.json	quantum-junction	a6e43e8			2			1.3561234130174853	collector priority 80
quantum_peak_session	16_2	very easy	16	collector_snapshot	collector	collector_selected:16_2	exact	research/quantum_peak_session/results/current_candidates/CANDIDATES.tsv	quantum-junction	a6e43e8							selected from exact_statevector
quantum_peak_session	16_2	very easy	16	exact_statevector	exact	collector_evidence:16_2:1	exact	agent_work/exact_baseline/peaks_exact.csv	quantum-junction	019dc8c							collector priority 100
quantum_peak_session	16_2	very easy	16	exact_statevector	exact	exact_statevector	ok	agent_work/exact_baseline/peaks_exact.jsonl	quantum-junction	019dc8c	qiskit-aer-statevector					0.02058972699160222	exact statevector top list
quantum_peak_session	16_2	very easy	16	quimb_cpu_all	quimb	collector_evidence:16_2:2	correct	outputs/tree_tensor_sim/all_cpu/json/challenge-16_2.quimb_tree_graph_mps.json	quantum-junction	a6e43e8			30			11.555157506139949	collector priority 80
quantum_peak_session	24_3	very easy	24	collector_snapshot	collector	collector_selected:24_3	exact	research/quantum_peak_session/results/current_candidates/CANDIDATES.tsv	quantum-junction	a6e43e8							selected from exact_statevector
quantum_peak_session	24_3	very easy	24	exact_statevector	exact	collector_evidence:24_3:1	exact	agent_work/exact_baseline/peaks_exact.csv	quantum-junction	019dc8c							collector priority 100
quantum_peak_session	24_3	very easy	24	exact_statevector	exact	exact_statevector	ok	agent_work/exact_baseline/peaks_exact.jsonl	quantum-junction	019dc8c	qiskit-aer-statevector					0.7303320439968957	exact statevector top list
quantum_peak_session	24_3	very easy	24	quimb_cpu_all	quimb	collector_evidence:24_3:2	correct	outputs/tree_tensor_sim/all_cpu/json/challenge-24_3.quimb_tree_graph_mps.json	quantum-junction	a6e43e8			52			12.476727702189237	collector priority 80
quantum_peak_session	28_4	very easy	28	collector_snapshot	collector	collector_selected:28_4	exact	research/quantum_peak_session/results/current_candidates/CANDIDATES.tsv	quantum-junction	a6e43e8							selected from exact_statevector
quantum_peak_session	28_4	very easy	28	exact_statevector	exact	collector_evidence:28_4:1	exact	agent_work/exact_baseline/peaks_exact.csv	quantum-junction	019dc8c							collector priority 100
quantum_peak_session	28_4	very easy	28	exact_statevector	exact	exact_statevector	ok	agent_work/exact_baseline/peaks_exact.jsonl	quantum-junction	019dc8c	qiskit-aer-statevector					28.83153981799842	exact statevector top list
quantum_peak_session	28_4	very easy	28	quimb_cpu_all	quimb	collector_evidence:28_4:2	correct	outputs/tree_tensor_sim/all_cpu/json/challenge-28_4.quimb_tree_graph_mps.json	quantum-junction	a6e43e8			512			1208.7308507100097	collector priority 80
quantum_peak_session	32_5	very easy	32	collector_snapshot	collector	collector_selected:32_5	unknown	research/quantum_peak_session/results/current_candidates/CANDIDATES.tsv	quantum-junction	a6e43e8							selected from quimb_cpu_all
quantum_peak_session	32_5	very easy	32	quimb_cpu_all	quimb	collector_evidence:32_5:1	unknown	outputs/tree_tensor_sim/all_cpu/json/challenge-32_5.quimb_tree_graph_mps.json	quantum-junction	a6e43e8			1376			600.3461958561093	collector priority 80
quantum_peak_session	36_6	very easy	36	collector_snapshot	collector	collector_selected:36_6	unknown	research/quantum_peak_session/results/current_candidates/CANDIDATES.tsv	quantum-junction	a6e43e8							selected from quimb_cpu_all
quantum_peak_session	36_6	very easy	36	quimb_cpu_all	quimb	collector_evidence:36_6:1	unknown	outputs/tree_tensor_sim/all_cpu/json/challenge-36_6.quimb_tree_graph_mps.json	quantum-junction	a6e43e8			25			167.304611640051	collector priority 80
quantum_peak_session	40_7	very easy	40	collector_snapshot	collector	collector_selected:40_7	unknown	research/quantum_peak_session/results/current_candidates/CANDIDATES.tsv	quantum-junction	a6e43e8							selected from quimb_cpu_all
quantum_peak_session	40_7	very easy	40	quimb_cpu_all	quimb	collector_evidence:40_7:1	unknown	outputs/tree_tensor_sim/all_cpu/json/challenge-40_7.quimb_tree_graph_mps.json	quantum-junction	a6e43e8			4			14.323705504997633	collector priority 80
quantum_peak_session	48_8	very easy	48	collector_snapshot	collector	collector_selected:48_8	unknown	research/quantum_peak_session/results/current_candidates/CANDIDATES.tsv	quantum-junction	a6e43e8							selected from quimb_cpu_all
quantum_peak_session	48_8	very easy	48	quimb_cpu_all	quimb	collector_evidence:48_8:1	unknown	outputs/tree_tensor_sim/all_cpu/json/challenge-48_8.quimb_tree_graph_mps.json	quantum-junction	a6e43e8			6			8.576204065000638	collector priority 80
quantum_peak_session	56_9	very easy	56	collector_snapshot	collector	collector_selected:56_9	unknown	research/quantum_peak_session/results/current_candidates/CANDIDATES.tsv	quantum-junction	a6e43e8							selected from quimb_cpu_all
quantum_peak_session	56_9	very easy	56	quimb_cpu_all	quimb	collector_evidence:56_9:1	unknown	outputs/tree_tensor_sim/all_cpu/json/challenge-56_9.quimb_tree_graph_mps.json	quantum-junction	a6e43e8			10			19.62739471020177	collector priority 80
quantum_peak_session	64_10	very easy	64	collector_snapshot	collector	collector_selected:64_10	unknown	research/quantum_peak_session/results/current_candidates/CANDIDATES.tsv	quantum-junction	a6e43e8							selected from quimb_cpu_all
quantum_peak_session	64_10	very easy	64	quimb_cpu_all	quimb	collector_evidence:64_10:1	unknown	outputs/tree_tensor_sim/all_cpu/json/challenge-64_10.quimb_tree_graph_mps.json	quantum-junction	a6e43e8			5			21.401709445985034	collector priority 80
quantum_peak_session	8_11	easy	8	aer_mps_pilot	mps	collector_evidence:8_11:4	stable_high_config	agent_work/mps_distill/summaries/pilot_candidates.tsv	quantum-junction	019dc8c							collector priority 40
quantum_peak_session	8_11	easy	8	aer_mps_pilot	mps	mps_distill_pilot	stable_high_config	agent_work/mps_distill/summaries/pilot_summary.json	quantum-junction	019dc8c		4096	64			0.3218619028727214	ok_trials=6; expected=6
quantum_peak_session	8_11	easy	8	aer_mps_selected	mps	challenge-8_11.mps	ok	outputs/sim_11_26_34_41_49/json/challenge-8_11.mps.json	quantum-junction	ebe2a6a		4096	64	12345			-
quantum_peak_session	8_11	easy	8	collector_snapshot	collector	collector_selected:8_11	exact	research/quantum_peak_session/results/current_candidates/CANDIDATES.tsv	quantum-junction	a6e43e8							selected from exact_statevector
quantum_peak_session	8_11	easy	8	exact_statevector	exact	collector_evidence:8_11:1	exact	agent_work/exact_baseline/peaks_exact.csv	quantum-junction	019dc8c							collector priority 100
quantum_peak_session	8_11	easy	8	exact_statevector	exact	exact_statevector	ok	agent_work/exact_baseline/peaks_exact.jsonl	quantum-junction	019dc8c	qiskit-aer-statevector					0.009816121004405431	exact statevector top list
quantum_peak_session	8_11	easy	8	peaked_mpo_mps	mpo	challenge-8_11.peaked_mpo_mps	ok	outputs/peaked_circuit_sim_all/json/challenge-8_11.peaked_mpo_mps.json	quantum-junction	ebe2a6a	cuda		512	123		5.094946316909045	peaked circuit MPO/MPS marginal candidate
quantum_peak_session	8_11	easy	8	peaked_mpo_mps	mpo	challenge-8_11.peaked_mpo_mps	ok	outputs/peaked_circuit_sim_pilot/json/challenge-8_11.peaked_mpo_mps.json	quantum-junction	ebe2a6a	cuda		512	123		72.65588954370469	peaked circuit MPO/MPS marginal candidate
quantum_peak_session	8_11	easy	8	quimb_cpu_all	quimb	collector_evidence:8_11:3	correct	outputs/tree_tensor_sim/all_cpu/json/challenge-8_11.quimb_tree_graph_mps.json	quantum-junction	a6e43e8			8			2.9588750309776515	collector priority 80
quantum_peak_session	8_11	easy	8	quimb_gpu_all	quimb	collector_evidence:8_11:2	correct	outputs/tree_tensor_sim/all/json/challenge-8_11.quimb_tree_graph_mps.json	quantum-junction	a6e43e8			8			5.092356294160709	collector priority 90
quantum_peak_session	8_11	easy	8	selected_statevector	exact	challenge-8_11.statevector	ok	outputs/sim_11_26_34_41_49/json/challenge-8_11.statevector.json	quantum-junction	ebe2a6a							-
quantum_peak_session	16_12	easy	16	aer_mps_pilot	mps	collector_evidence:16_12:4	stable_high_config	agent_work/mps_distill/summaries/pilot_candidates.tsv	quantum-junction	019dc8c							collector priority 40
quantum_peak_session	16_12	easy	16	aer_mps_pilot	mps	mps_distill_pilot	stable_high_config	agent_work/mps_distill/summaries/pilot_summary.json	quantum-junction	019dc8c		4096	64			0.519010066986084	ok_trials=6; expected=6
quantum_peak_session	16_12	easy	16	collector_snapshot	collector	collector_selected:16_12	exact	research/quantum_peak_session/results/current_candidates/CANDIDATES.tsv	quantum-junction	a6e43e8							selected from exact_statevector
quantum_peak_session	16_12	easy	16	exact_statevector	exact	collector_evidence:16_12:1	exact	agent_work/exact_baseline/peaks_exact.csv	quantum-junction	019dc8c							collector priority 100
quantum_peak_session	16_12	easy	16	exact_statevector	exact	exact_statevector	ok	agent_work/exact_baseline/peaks_exact.jsonl	quantum-junction	019dc8c	qiskit-aer-statevector					0.3803794609993929	exact statevector top list
quantum_peak_session	16_12	easy	16	peaked_mpo_mps	mpo	challenge-16_12.peaked_mpo_mps	ok	outputs/peaked_circuit_sim_all/json/challenge-16_12.peaked_mpo_mps.json	quantum-junction	ebe2a6a	cuda		512	123		113.71320221800124	peaked circuit MPO/MPS marginal candidate
quantum_peak_session	16_12	easy	16	quimb_cpu_all	quimb	collector_evidence:16_12:3	correct	outputs/tree_tensor_sim/all_cpu/json/challenge-16_12.quimb_tree_graph_mps.json	quantum-junction	a6e43e8			24			5.105488528031856	collector priority 80
quantum_peak_session	16_12	easy	16	quimb_gpu_all	quimb	collector_evidence:16_12:2	correct	outputs/tree_tensor_sim/all/json/challenge-16_12.quimb_tree_graph_mps.json	quantum-junction	a6e43e8			24			10.699602320091799	collector priority 90
quantum_peak_session	24_13	easy	24	collector_snapshot	collector	collector_selected:24_13	exact	research/quantum_peak_session/results/current_candidates/CANDIDATES.tsv	quantum-junction	a6e43e8							selected from exact_statevector
quantum_peak_session	24_13	easy	24	exact_statevector	exact	collector_evidence:24_13:1	exact	agent_work/exact_baseline/peaks_exact.csv	quantum-junction	019dc8c							collector priority 100
quantum_peak_session	24_13	easy	24	exact_statevector	exact	exact_statevector	ok	agent_work/exact_baseline/peaks_exact.jsonl	quantum-junction	019dc8c	qiskit-aer-statevector					2.597068744013086	exact statevector top list
quantum_peak_session	24_13	easy	24	peaked_mpo_mps	mpo	challenge-24_13.peaked_mpo_mps	ok	outputs/peaked_circuit_sim_all/json/challenge-24_13.peaked_mpo_mps.json	quantum-junction	ebe2a6a	cuda		512	123		327.56396918417886	peaked circuit MPO/MPS marginal candidate
quantum_peak_session	24_13	easy	24	quimb_cpu_all	quimb	collector_evidence:24_13:3	correct	outputs/tree_tensor_sim/all_cpu/json/challenge-24_13.quimb_tree_graph_mps.json	quantum-junction	a6e43e8			111			145.65786419494543	collector priority 80
quantum_peak_session	24_13	easy	24	quimb_gpu_all	quimb	collector_evidence:24_13:2	correct	outputs/tree_tensor_sim/all/json/challenge-24_13.quimb_tree_graph_mps.json	quantum-junction	a6e43e8			111			20.618080267915502	collector priority 90
quantum_peak_session	32_14	easy	32	collector_snapshot	collector	collector_selected:32_14	unknown	research/quantum_peak_session/results/current_candidates/CANDIDATES.tsv	quantum-junction	a6e43e8							selected from quimb_gpu_all
quantum_peak_session	32_14	easy	32	peaked_mpo_mps	mpo	challenge-32_14.peaked_mpo_mps	ok	outputs/peaked_circuit_sim_all/json/challenge-32_14.peaked_mpo_mps.json	quantum-junction	ebe2a6a	cuda		512	123		493.03551087807864	peaked circuit MPO/MPS marginal candidate
quantum_peak_session	32_14	easy	32	quimb_cpu_all	quimb	collector_evidence:32_14:2	unknown	outputs/tree_tensor_sim/all_cpu/json/challenge-32_14.quimb_tree_graph_mps.json	quantum-junction	a6e43e8			974			5089.328296295134	collector priority 80
quantum_peak_session	32_14	easy	32	quimb_gpu_all	quimb	collector_evidence:32_14:1	unknown	outputs/tree_tensor_sim/all/json/challenge-32_14.quimb_tree_graph_mps.json	quantum-junction	a6e43e8			974			204.297723014839	collector priority 90
quantum_peak_session	32_14	easy	32	quimb_rcm_cpu	quimb	collector_evidence:32_14:3	unknown	outputs/tree_tensor_sim/rcm_cpu/json/challenge-32_14.quimb_tree_graph_mps.json	quantum-junction	a6e43e8			160			292.81885538599454	collector priority 55
quantum_peak_session	36_15	easy	36	collector_snapshot	collector	collector_selected:36_15	unknown	research/quantum_peak_session/results/current_candidates/CANDIDATES.tsv	quantum-junction	a6e43e8							selected from quimb_gpu_all
quantum_peak_session	36_15	easy	36	peaked_mpo_mps	mpo	challenge-36_15.peaked_mpo_mps	ok	outputs/peaked_circuit_sim_all/json/challenge-36_15.peaked_mpo_mps.json	quantum-junction	ebe2a6a	cuda		512	123		2560.198472704971	peaked circuit MPO/MPS marginal candidate
quantum_peak_session	36_15	easy	36	quimb_cpu_all	quimb	collector_evidence:36_15:2	unknown	outputs/tree_tensor_sim/all_cpu/json/challenge-36_15.quimb_tree_graph_mps.json	quantum-junction	a6e43e8			512			2635.8527174430055	collector priority 80
quantum_peak_session	36_15	easy	36	quimb_gpu_all	quimb	collector_evidence:36_15:1	unknown	outputs/tree_tensor_sim/all/json/challenge-36_15.quimb_tree_graph_mps.json	quantum-junction	a6e43e8			512			2186.736932408996	collector priority 90
quantum_peak_session	36_15	easy	36	quimb_rcm_cpu	quimb	collector_evidence:36_15:3	unknown	outputs/tree_tensor_sim/rcm_cpu/json/challenge-36_15.quimb_tree_graph_mps.json	quantum-junction	a6e43e8			128			3902.182036800019	collector priority 55
quantum_peak_session	40_16	easy	40	aer_mps_pilot	mps	collector_evidence:40_16:4	stable_high_config	agent_work/mps_distill/summaries/pilot_candidates.tsv	quantum-junction	019dc8c							collector priority 40
quantum_peak_session	40_16	easy	40	aer_mps_pilot	mps	mps_distill_pilot	stable_high_config	agent_work/mps_distill/summaries/pilot_summary.json	quantum-junction	019dc8c		4096	64			8.270506580670675	ok_trials=6; expected=6
quantum_peak_session	40_16	easy	40	collector_snapshot	collector	collector_selected:40_16	unknown	research/quantum_peak_session/results/current_candidates/CANDIDATES.tsv	quantum-junction	a6e43e8							selected from quimb_gpu_all
quantum_peak_session	40_16	easy	40	peaked_mpo_mps	mpo	challenge-40_16.peaked_mpo_mps	ok	outputs/peaked_circuit_sim_all/json/challenge-40_16.peaked_mpo_mps.json	quantum-junction	ebe2a6a	cuda		512	123		1205.1742309890687	peaked circuit MPO/MPS marginal candidate
quantum_peak_session	40_16	easy	40	quimb_cpu_all	quimb	collector_evidence:40_16:2	unknown	outputs/tree_tensor_sim/all_cpu/json/challenge-40_16.quimb_tree_graph_mps.json	quantum-junction	a6e43e8			512			670.6548004739889	collector priority 80
quantum_peak_session	40_16	easy	40	quimb_fast_cpu	quimb	collector_evidence:40_16:3	unknown	outputs/tree_tensor_sim/fast_cpu/json/challenge-40_16.quimb_tree_graph_mps.json	quantum-junction	a6e43e8			73			412.6593729609158	collector priority 50
quantum_peak_session	40_16	easy	40	quimb_gpu_all	quimb	collector_evidence:40_16:1	unknown	outputs/tree_tensor_sim/all/json/challenge-40_16.quimb_tree_graph_mps.json	quantum-junction	a6e43e8			512			406.0428800773807	collector priority 90
quantum_peak_session	40_17	easy	40	collector_snapshot	collector	collector_selected:40_17	unknown	research/quantum_peak_session/results/current_candidates/CANDIDATES.tsv	quantum-junction	a6e43e8							selected from quimb_gpu_all
quantum_peak_session	40_17	easy	40	peaked_mpo_mps	mpo	challenge-40_17.peaked_mpo_mps	ok	outputs/peaked_circuit_sim_all/json/challenge-40_17.peaked_mpo_mps.json	quantum-junction	ebe2a6a	cuda		512	123		623.4191418460105	peaked circuit MPO/MPS marginal candidate
quantum_peak_session	40_17	easy	40	quimb_cpu_all	quimb	collector_evidence:40_17:2	unknown	outputs/tree_tensor_sim/all_cpu/json/challenge-40_17.quimb_tree_graph_mps.json	quantum-junction	a6e43e8			250			1275.6358355300035	collector priority 80
quantum_peak_session	40_17	easy	40	quimb_fast_cpu	quimb	collector_evidence:40_17:4	unknown	outputs/tree_tensor_sim/fast_cpu/json/challenge-40_17.quimb_tree_graph_mps.json	quantum-junction	a6e43e8			200			299.76804796792567	collector priority 50
quantum_peak_session	40_17	easy	40	quimb_gpu_all	quimb	collector_evidence:40_17:1	unknown	outputs/tree_tensor_sim/all/json/challenge-40_17.quimb_tree_graph_mps.json	quantum-junction	a6e43e8			251			157.80208567599766	collector priority 90
quantum_peak_session	40_17	easy	40	quimb_rcm_cpu	quimb	collector_evidence:40_17:3	unknown	outputs/tree_tensor_sim/rcm_cpu/json/challenge-40_17.quimb_tree_graph_mps.json	quantum-junction	a6e43e8			57			169.21006372000556	collector priority 55
quantum_peak_session	40_18	easy	40	collector_snapshot	collector	collector_selected:40_18	unknown	research/quantum_peak_session/results/current_candidates/CANDIDATES.tsv	quantum-junction	a6e43e8							selected from quimb_gpu_all
quantum_peak_session	40_18	easy	40	peaked_mpo_mps	mpo	challenge-40_18.peaked_mpo_mps	ok	outputs/peaked_circuit_sim_all/json/challenge-40_18.peaked_mpo_mps.json	quantum-junction	ebe2a6a	cuda		512	123		1455.72325036861	peaked circuit MPO/MPS marginal candidate
quantum_peak_session	40_18	easy	40	quimb_cpu_all	quimb	collector_evidence:40_18:2	unknown	outputs/tree_tensor_sim/all_cpu/json/challenge-40_18.quimb_tree_graph_mps.json	quantum-junction	a6e43e8			512			2614.0391854020127	collector priority 80
quantum_peak_session	40_18	easy	40	quimb_gpu_all	quimb	collector_evidence:40_18:1	unknown	outputs/tree_tensor_sim/all/json/challenge-40_18.quimb_tree_graph_mps.json	quantum-junction	a6e43e8			512			1816.451525606215	collector priority 90
quantum_peak_session	40_18	easy	40	quimb_rcm_cpu	quimb	collector_evidence:40_18:3	unknown	outputs/tree_tensor_sim/rcm_cpu/json/challenge-40_18.quimb_tree_graph_mps.json	quantum-junction	a6e43e8			117			1414.3921348009026	collector priority 55
quantum_peak_session	48_19	easy	48	collector_snapshot	collector	collector_selected:48_19	unknown	research/quantum_peak_session/results/current_candidates/CANDIDATES.tsv	quantum-junction	a6e43e8							selected from quimb_gpu_all
quantum_peak_session	48_19	easy	48	peaked_mpo_mps	mpo	challenge-48_19.peaked_mpo_mps	ok	outputs/peaked_circuit_sim_all/json/challenge-48_19.peaked_mpo_mps.json	quantum-junction	ebe2a6a	cuda		512	123		720.6606980559882	peaked circuit MPO/MPS marginal candidate
quantum_peak_session	48_19	easy	48	quimb_cpu_all	quimb	collector_evidence:48_19:2	unknown	outputs/tree_tensor_sim/all_cpu/json/challenge-48_19.quimb_tree_graph_mps.json	quantum-junction	a6e43e8			29			44.622320821014	collector priority 80
quantum_peak_session	48_19	easy	48	quimb_gpu_all	quimb	collector_evidence:48_19:1	unknown	outputs/tree_tensor_sim/all/json/challenge-48_19.quimb_tree_graph_mps.json	quantum-junction	a6e43e8			29			35.093291667988524	collector priority 90
quantum_peak_session	48_20	easy	48	collector_snapshot	collector	collector_selected:48_20	unknown	research/quantum_peak_session/results/current_candidates/CANDIDATES.tsv	quantum-junction	a6e43e8							selected from quimb_gpu_all
quantum_peak_session	48_20	easy	48	peaked_mpo_mps	mpo	challenge-48_20.peaked_mpo_mps	ok	outputs/peaked_circuit_sim_all/json/challenge-48_20.peaked_mpo_mps.json	quantum-junction	ebe2a6a	cuda		512	123		1471.1168481340283	peaked circuit MPO/MPS marginal candidate
quantum_peak_session	48_20	easy	48	quimb_cpu_all	quimb	collector_evidence:48_20:2	unknown	outputs/tree_tensor_sim/all_cpu/json/challenge-48_20.quimb_tree_graph_mps.json	quantum-junction	a6e43e8			275			746.4007850299968	collector priority 80
quantum_peak_session	48_20	easy	48	quimb_fast_cpu	quimb	collector_evidence:48_20:3	unknown	outputs/tree_tensor_sim/fast_cpu/json/challenge-48_20.quimb_tree_graph_mps.json	quantum-junction	a6e43e8			37			184.07346311304718	collector priority 50
quantum_peak_session	48_20	easy	48	quimb_gpu_all	quimb	collector_evidence:48_20:1	unknown	outputs/tree_tensor_sim/all/json/challenge-48_20.quimb_tree_graph_mps.json	quantum-junction	a6e43e8			275			244.04334258800372	collector priority 90
quantum_peak_session	48_21	easy	48	collector_snapshot	collector	collector_selected:48_21	unknown	research/quantum_peak_session/results/current_candidates/CANDIDATES.tsv	quantum-junction	a6e43e8							selected from quimb_gpu_all
